,,,,,,"""@parameter""","""@parameterKey""","""sigdef""","""sigdef""","""sigdef""","""sigdef""","""@rangeLow""","""@rangeHigh""","""@deltaPercent""","""@EU""","""@isarchive""","""@isalarm""","""@alarmtype""","""@prio""","""@active""","""@inactive"""
typeId,typeName,portID,portName,portType,portDesc,Value,Parameter Key,Signal Tag Name,Signal Item,Signal Name,Designation (text),Range Low,Range High,Delta Percent,EU,Archive,Alarm,Alarm Type,Priority,Active Alarm Text,Deactive Alarm Text
1,ADD,10,IN1,I,Addend 1,,,,,,,,,,,,,,,,
1,ADD,20,IN2,I,Addend 2,,,,,,,,,,,,,,,,
1,ADD,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
1,ADD,1000,OUT,O,Sum,,,,,,,,,,,,,,,,
1,ADD,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
2,SUB,10,IN1,I,Minuend,,,,,,,,,,,,,,,,
2,SUB,20,IN2,I,Subtrahend,,,,,,,,,,,,,,,,
2,SUB,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
2,SUB,1000,OUT,O,Difference,,,,,,,,,,,,,,,,
2,SUB,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
3,MULTIPLY,10,IN1,I,Multiplicand,,,,,,,,,,,,,,,,
3,MULTIPLY,20,IN2,I,Multiplier,,,,,,,,,,,,,,,,
3,MULTIPLY,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
3,MULTIPLY,1000,OUT,O,Product,,,,,,,,,,,,,,,,
3,MULTIPLY,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
4,DIV,10,IN1,I,Dividend,,,,,,,,,,,,,,,,
4,DIV,20,IN2,I,Divisor,,,,,,,,,,,,,,,,
4,DIV,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
4,DIV,1000,OUT,O,Quotient,,,,,,,,,,,,,,,,
4,DIV,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
5,EXP,10,IN,I,Exponent,,,,,,,,,,,,,,,,
5,EXP,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
5,EXP,1000,OUT,O,Exponential function,,,,,,,,,,,,,,,,
5,EXP,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
6,LN,10,IN,I,Argument,,,,,,,,,,,,,,,,
6,LN,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
6,LN,1000,OUT,O,Natural logarithm,,,,,,,,,,,,,,,,
6,LN,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
7,NROOT,10,IN,I,Radicand,,,,,,,,,,,,,,,,
7,NROOT,20,N,I,Root Exponent,,,,,,,,,,,,,,,,
7,NROOT,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
7,NROOT,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
7,NROOT,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
8,MAX,10,IN1,I,Input value 1,,,,,,,,,,,,,,,,
8,MAX,20,IN2,I,Input value 2,,,,,,,,,,,,,,,,
8,MAX,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
8,MAX,1000,MAX,O,Maximum Value,,,,,,,,,,,,,,,,
8,MAX,1010,MAX1,O,IN1 is the maximum value,,,,,,,,,,,,,,,,
8,MAX,1020,MAX2,O,IN2 is the maximum value,,,,,,,,,,,,,,,,
9,MIN,10,IN1,I,Input Value 1,,,,,,,,,,,,,,,,
9,MIN,20,IN2,I,Input Value 2,,,,,,,,,,,,,,,,
9,MIN,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
9,MIN,1000,MIN,O,Minimum Value,,,,,,,,,,,,,,,,
9,MIN,1010,MIN1,O,IN1 is the minimum value,,,,,,,,,,,,,,,,
9,MIN,1020,MIN2,O,IN2 is the minimum value,,,,,,,,,,,,,,,,
10,MINMAX,10,IN,I,Input Value,,,,,,,,,,,,,,,,
10,MINMAX,20,MAX,I,Maximum Limit Value,,,,,,,,,,,,,,,,
10,MINMAX,30,MIN,I,Minimum Limit Value,,,,,,,,,,,,,,,,
10,MINMAX,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
10,MINMAX,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
10,MINMAX,1010,OUT_MAX,O,Output at Maximum Limit,,,,,,,,,,,,,,,,
10,MINMAX,1020,OUT_MIN,O,Output at Minimum Limit,,,,,,,,,,,,,,,,
11,POLY,10,IN,I,Analog Input value,,,,,,,,,,,,,,,,
11,POLY,20,N_BP,I,Number of breakpoints,,,,,,,,,,,,,,,,
11,POLY,30,X1,I,X-coordinate breakpoint 1,,,,,,,,,,,,,,,,
11,POLY,40,Y1,I,Y-coordinate breakpoint 1,,,,,,,,,,,,,,,,
11,POLY,50,X2,I,X-coordinate breakpoint 2,,,,,,,,,,,,,,,,
11,POLY,60,Y2,I,Y-coordinate breakpoint 2,,,,,,,,,,,,,,,,
11,POLY,70,X3,I,X-coordinate breakpoint 3,,,,,,,,,,,,,,,,
11,POLY,80,Y3,I,Y-coordinate breakpoint 3,,,,,,,,,,,,,,,,
11,POLY,90,X4,I,X-coordinate breakpoint 4,,,,,,,,,,,,,,,,
11,POLY,100,Y4,I,Y-coordinate breakpoint 4,,,,,,,,,,,,,,,,
11,POLY,110,X5,I,X-coordinate breakpoint 5,,,,,,,,,,,,,,,,
11,POLY,120,Y5,I,Y-coordinate breakpoint 5,,,,,,,,,,,,,,,,
11,POLY,130,X6,I,X-coordinate breakpoint 6,,,,,,,,,,,,,,,,
11,POLY,140,Y6,I,Y-coordinate breakpoint 6,,,,,,,,,,,,,,,,
11,POLY,150,X7,I,X-coordinate breakpoint 7,,,,,,,,,,,,,,,,
11,POLY,160,Y7,I,Y-coordinate breakpoint 7,,,,,,,,,,,,,,,,
11,POLY,170,X8,I,X-coordinate breakpoint 8,,,,,,,,,,,,,,,,
11,POLY,180,Y8,I,Y-coordinate breakpoint 8,,,,,,,,,,,,,,,,
11,POLY,190,X9,I,X-coordinate breakpoint 9,,,,,,,,,,,,,,,,
11,POLY,200,Y9,I,Y-coordinate breakpoint 9,,,,,,,,,,,,,,,,
11,POLY,210,X10,I,X-coordinate breakpoint 10,,,,,,,,,,,,,,,,
11,POLY,220,Y10,I,Y-coordinate breakpoint 10,,,,,,,,,,,,,,,,
11,POLY,230,X11,I,X-coordinate breakpoint 11,,,,,,,,,,,,,,,,
11,POLY,240,Y11,I,Y-coordinate breakpoint 11,,,,,,,,,,,,,,,,
11,POLY,250,X12,I,X-coordinate breakpoint 12,,,,,,,,,,,,,,,,
11,POLY,260,Y12,I,Y-coordinate breakpoint 12,,,,,,,,,,,,,,,,
11,POLY,270,X13,I,X-coordinate breakpoint 13,,,,,,,,,,,,,,,,
11,POLY,280,Y13,I,Y-coordinate breakpoint 13,,,,,,,,,,,,,,,,
11,POLY,290,X14,I,X-coordinate breakpoint 14,,,,,,,,,,,,,,,,
11,POLY,300,Y14,I,Y-coordinate breakpoint 14,,,,,,,,,,,,,,,,
11,POLY,310,X15,I,X-coordinate breakpoint 15,,,,,,,,,,,,,,,,
11,POLY,320,Y15,I,Y-coordinate breakpoint 15,,,,,,,,,,,,,,,,
11,POLY,330,X16,I,X-coordinate breakpoint 16,,,,,,,,,,,,,,,,
11,POLY,340,Y16,I,Y-coordinate breakpoint 16,,,,,,,,,,,,,,,,
11,POLY,350,X17,I,X-coordinate breakpoint 17,,,,,,,,,,,,,,,,
